"ID","X","Y","pH","OM","P","K","Mg","Ca","Al","NO_3","EC","Elev"
"226",23.9902351782424,107.925129459763,5.9,4.5,145,330,350,2500,950,24.08,8.1,4.5575333
"227",44.6306730384462,107.235453440035,6.4,5.7,280,490,470,5300,1040,114.74,8.35,4.7494202
"228",63.9179542802053,106.404620926548,7.2,2.3,100,175,650,3800,700,15.53,12.9,4.5317154
"229",83.6207800867449,106.291371990952,6.1,6.1,330,650,350,3500,1060,69.23,9.35,4.8616638
"230",102.985187090632,105.514682710425,5.8,2.3,100,185,310,2300,640,14.65,8.1,4.6634483
"231",123.907143121106,105.497614473223,6.6,3.7,230,170,360,3500,870,24.32,8.7,4.8911552
"232",143.015552154184,103.692988277696,6.2,2.9,285,120,150,2300,950,16.93,8.5,4.7767944
"233",163.469975992076,103.432668597564,7,2.4,270,120,180,2800,960,22.78,12.8,4.9263687
"234",184.110491963075,103.034089905973,7.4,2.2,300,385,190,4200,1450,38.17,6.1,4.863308
"235",32.6076550040209,87.0359032043642,5.8,5.14285714285714,190,310,430,4500,1080,52.5457142857143,5.05,4.6498947
"236",52.8446801539861,88.4439503101453,7.2,4,210,375,410,4400,730,22.45,16.6,4.5764771
"237",71.972048721481,88.4989040283055,7.3,3,130,230,480,4400,790,35.98,8.25,4.5418129
"238",92.3510987407861,86.856917491044,6.3,3.9,200,240,330,3100,840,86.68,8.9,4.6936722
"239",115.19581854195,86.1285312755682,6.8,3.9,255,210,320,3600,810,21.11,10.05,4.6634483
"240",136.328006767881,85.8949135592566,6.8,3.7,230,230,270,3300,920,26.99,8.5,4.8667145
"241",156.585559003092,84.8294826439834,6.3,1.4,250,300,240,2200,890,36.97,8.95,4.7767944
"242",175.971652744156,84.3053803173937,7.1,1.4,250,250,290,3400,1000,14.32,12.85,5.0724487
"243",195.520758817466,84.0390440119858,6.9,1.1,145,300,450,3600,1020,15.46,11.2,4.4946442
"244",24.4477210304269,69.4333746105501,6.4,4.1,100,190,390,3000,800,16.81,6.8,4.4063988
"245",44.7967502928946,68.7489247956562,7.3,4.6,185,300,420,5200,650,25.48,10.1,4.7879105
"246",63.9880863818639,68.4595308784883,7.2,3.58333333333333,185.833333333333,160,790,4350,460,11.63,8.9,4.5317154
"247",83.0413533544243,68.994065593175,6.7,4.5,290,320,325,3500,760,21.77,10.6,4.8211212
