X,Y,ID,tC_015,tC_1530,FFtC,tC,Sand,Silt,Clay,pH,K,P,Mg,Ca,Min,RM,SuM,SiM,BE,RO,WB,GB,YB,BW,BH,SH,AE,WA,BA,IW,MW,HE
582236.634052000,5031465.22843800,75,3.64393581434491,1.94005452206360,0.329684268613920,5.91367460502243,61.2000000000000,17.0400000000000,21.7600000000000,5.21000000000000,51,14.1800000000000,99,332,102.511040206805,1,6,0,19,0,0,0,0,3,0,0,0,2,0,0,0,0
582197.006702000,5031442.15054600,76,2.65507839649546,1.78729857716720,3.35770377430101,7.80008074796367,86.1100000000000,6,7.88000000000000,5.62000000000000,25,20.2800000000000,25,53,40.2373219874289,10,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
582144.890845000,5031414.97076400,77,4.45116882240152,0.590221710893434,1.16783387837668,6.20922441167163,35.8500000000000,22.2100000000000,41.9400000000000,5.67000000000000,97,37.3200000000000,265,663,106.482474930632,27,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0
582100.945276000,5031399.99415300,78,4.97857980977563,2.15940358017853,0,7.13798338995415,47.8800000000000,23.1000000000000,29.0300000000000,5.30000000000000,126,17.1600000000000,108,215,190.484546673021,10,0,7,10,0,0,0,0,0,2,7,0,0,0,0,0,0
582051.494150000,5031381.43860500,79,4.22823635812325,1.64666259703032,0,5.87489895515357,32.4300000000000,29.3900000000000,38.1800000000000,6.15000000000000,135,24.7300000000000,198,670,134.586069275137,0,10,0,0,0,0,0,0,3,0,20,0,0,0,2,0,0
582418.931683000,5031601.22734300,81,4.35465730296465,1.52007066590874,0,5.87472796887339,59.6400000000000,18.5100000000000,21.8400000000000,5.74000000000000,71,19.9900000000000,185,1340,138.357392578616,0,13,0,0,15,2,0,0,4,0,0,0,4,0,0,0,0
582367.087518000,5031584.18680200,82,4.29959790026561,1.86201491699146,0,6.16161281725706,29.7100000000000,33.3000000000000,36.9900000000000,6.86000000000000,79,7.71000000000000,585,2750,147.640633738766,0,24,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0
582313.492884000,5031548.96809600,83,3.84530106467333,1.50635862524912,0,5.35165968992246,40.2100000000000,28.1300000000000,31.6600000000000,5.67000000000000,200,26.4100000000000,194,940,124.565608760355,0,15,0,2,3,0,0,0,4,0,0,0,6,0,1,0,0
582272.451260000,5031526.12014000,84,5.11345585693724,2.40882287284101,0,7.52227872977825,25.7300000000000,26.4900000000000,47.7800000000000,5.95000000000000,145,28.6200000000000,340,1280,219.324935771300,6,0,1,2,6,0,0,0,4,0,0,0,8,0,3,0,0
582229.220496000,5031506.18193700,85,4.86066099497462,2.27248240260351,0,7.13314339757812,50.5300000000000,14.6600000000000,34.8200000000000,5.80000000000000,116,14.5600000000000,408,1540,200.530882867369,4,4,0,6,0,0,0,2,12,0,0,0,2,0,0,0,0
582177.284689000,5031480.76476600,86,3.28495073599137,2.24326951470252,1.55219526289715,7.08041551359104,88.5900000000000,4.20000000000000,7.22000000000000,5.01000000000000,33,12.7700000000000,21,104,70.9037761133846,10,0,0,21,0,0,0,0,2,0,0,0,0,0,0,0,0
582125.984502000,5031458.28961900,87,2.91956874500491,1.97868039821867,1.59863613487210,6.49688527809568,85.7600000000000,7.48000000000000,6.76000000000000,4.89000000000000,21,90.1700000000000,11,9,40.6517370298157,2,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
582077.988969000,5031440.97152800,88,3.56360394849190,1.46608422020970,0.548324412599643,5.57801258130124,59.8200000000000,19.0500000000000,21.1300000000000,5.19000000000000,65,10.4600000000000,87,223,104.508777833899,8,0,8,6,0,0,0,0,0,0,9,0,2,0,0,0,0
582029.878527000,5031416.82284500,89,4.31217163649675,1.83721352114426,0.178082807792980,6.32746796543399,87.1800000000000,6.10000000000000,6.73000000000000,5.24000000000000,87,11.6000000000000,148,585,162.876380543915,0,8,0,0,0,0,0,0,4,0,13,0,0,0,3,0,0
